species	config	n_truth_strains	completeness	contamination	n_contigs	n_clusters	precision	recall	bray_curtis
Fusobacterium_nucleatum	diff_k5	17	1.00	0.00	1	17	1.000	1.000	0.060
Fusobacterium_nucleatum	diff_k5	17	0.95	0.01	20	19	1.000	0.880	0.071
Fusobacterium_nucleatum	diff_k5	17	0.90	0.02	50	19	0.828	0.960	0.188
Fusobacterium_nucleatum	diff_k5	17	0.80	0.05	100	21	0.769	0.800	0.243
Fusobacterium_nucleatum	diff_k5	17	0.70	0.08	200	21	0.667	0.800	0.323
Fusobacterium_nucleatum	diff_k5	17	0.50	0.10	400	21	0.438	0.840	0.555
Klebsiella_pneumoniae	diff_k5	19	1.00	0.00	1	17	1.000	0.850	0.162
Klebsiella_pneumoniae	diff_k5	19	0.95	0.01	20	21	0.737	0.583	0.552
Klebsiella_pneumoniae	diff_k5	19	0.90	0.02	50	23	0.750	0.625	0.506
Klebsiella_pneumoniae	diff_k5	19	0.80	0.05	100	27	0.680	0.680	0.445
Klebsiella_pneumoniae	diff_k5	19	0.70	0.08	200	27	0.654	0.680	0.484
Klebsiella_pneumoniae	diff_k5	19	0.50	0.10	400	27	0.571	0.640	0.512
Lactiplantibacillus_plantarum	diff_k5	22	1.00	0.00	1	29	1.000	1.000	0.046
Lactiplantibacillus_plantarum	diff_k5	22	0.95	0.01	20	31	1.000	1.000	0.047
Lactiplantibacillus_plantarum	diff_k5	22	0.90	0.02	50	31	1.000	1.000	0.046
Lactiplantibacillus_plantarum	diff_k5	22	0.80	0.05	100	32	0.920	0.920	0.113
Lactiplantibacillus_plantarum	diff_k5	22	0.70	0.08	200	36	0.792	0.760	0.224
Lactiplantibacillus_plantarum	diff_k5	22	0.50	0.10	400	36	0.607	0.680	0.336
Mycobacterium_tuberculosis	same_k5	17	1.00	0.00	1	1	1.000	1.000	0.000
Mycobacterium_tuberculosis	same_k5	17	0.95	0.01	20	1	1.000	1.000	0.000
Mycobacterium_tuberculosis	same_k5	17	0.90	0.02	50	1	1.000	1.000	0.000
Mycobacterium_tuberculosis	same_k5	17	0.80	0.05	100	3	0.857	0.857	0.046
Mycobacterium_tuberculosis	same_k5	17	0.70	0.08	200	18	0.400	0.080	0.864
Mycobacterium_tuberculosis	same_k5	17	0.50	0.10	400	18	0.375	0.120	0.848
Phocaeicola_dorei	diff_k5	11	1.00	0.00	1	9	1.000	1.000	0.101
Phocaeicola_dorei	diff_k5	11	0.95	0.01	20	11	0.893	1.000	0.101
Phocaeicola_dorei	diff_k5	11	0.90	0.02	50	11	0.923	0.960	0.085
Phocaeicola_dorei	diff_k5	11	0.80	0.05	100	14	0.731	0.760	0.252
Phocaeicola_dorei	diff_k5	11	0.70	0.08	200	14	0.714	0.800	0.261
Phocaeicola_dorei	diff_k5	11	0.50	0.10	400	14	0.543	0.760	0.461
Porphyromonas_gingivalis	diff_k5	22	1.00	0.00	1	24	1.000	1.000	0.043
Porphyromonas_gingivalis	diff_k5	22	0.95	0.01	20	27	0.759	0.917	0.219
Porphyromonas_gingivalis	diff_k5	22	0.90	0.02	50	27	0.793	0.958	0.203
Porphyromonas_gingivalis	diff_k5	22	0.80	0.05	100	30	0.667	0.880	0.323
Porphyromonas_gingivalis	diff_k5	22	0.70	0.08	200	32	0.581	0.720	0.392
Porphyromonas_gingivalis	diff_k5	22	0.50	0.10	400	32	0.517	0.600	0.456
Prevotella_copri	diff_k5	15	1.00	0.00	1	17	1.000	0.960	0.094
Prevotella_copri	diff_k5	15	0.95	0.01	20	17	1.000	0.960	0.094
Prevotella_copri	diff_k5	15	0.90	0.02	50	17	1.000	1.000	0.089
Prevotella_copri	diff_k5	15	0.80	0.05	100	19	0.885	0.920	0.197
Prevotella_copri	diff_k5	15	0.70	0.08	200	19	0.741	0.800	0.282
Prevotella_copri	diff_k5	15	0.50	0.10	400	19	0.633	0.760	0.329
Salmonella_enterica	diff_k5	15	1.00	0.00	1	12	1.000	1.000	0.099
Salmonella_enterica	diff_k5	15	0.95	0.01	20	14	0.913	0.955	0.168
Salmonella_enterica	diff_k5	15	0.90	0.02	50	16	0.917	0.917	0.136
Salmonella_enterica	diff_k5	15	0.80	0.05	100	19	0.893	1.000	0.176
Salmonella_enterica	diff_k5	15	0.70	0.08	200	20	0.821	0.920	0.239
Salmonella_enterica	diff_k5	15	0.50	0.10	400	20	0.500	0.720	0.567
Staphylococcus_aureus	diff_k5	14	1.00	0.00	1	4	1.000	1.000	0.108
Staphylococcus_aureus	diff_k5	14	0.95	0.01	20	10	1.000	0.739	0.219
Staphylococcus_aureus	diff_k5	14	0.90	0.02	50	15	1.000	0.640	0.208
Staphylococcus_aureus	diff_k5	14	0.80	0.05	100	16	1.000	0.520	0.338
Staphylococcus_aureus	diff_k5	14	0.70	0.08	200	16	0.714	0.600	0.428
Staphylococcus_aureus	diff_k5	14	0.50	0.10	400	16	0.400	0.480	0.613
Staphylococcus_epidermidis	diff_k5	13	1.00	0.00	1	3	1.000	1.000	0.081
Staphylococcus_epidermidis	diff_k5	13	0.95	0.01	20	7	1.000	0.864	0.177
Staphylococcus_epidermidis	diff_k5	13	0.90	0.02	50	9	0.955	0.875	0.177
Staphylococcus_epidermidis	diff_k5	13	0.80	0.05	100	15	0.882	0.600	0.325
Staphylococcus_epidermidis	diff_k5	13	0.70	0.08	200	15	0.722	0.520	0.405
Staphylococcus_epidermidis	diff_k5	13	0.50	0.10	400	15	0.625	0.400	0.504
Streptococcus_pneumoniae	diff_k5	20	1.00	0.00	1	34	1.000	1.000	0.047
Streptococcus_pneumoniae	diff_k5	20	0.95	0.01	20	35	1.000	0.960	0.051
Streptococcus_pneumoniae	diff_k5	20	0.90	0.02	50	37	0.885	0.920	0.171
Streptococcus_pneumoniae	diff_k5	20	0.80	0.05	100	39	0.840	0.840	0.189
Streptococcus_pneumoniae	diff_k5	20	0.70	0.08	200	39	0.710	0.880	0.260
Streptococcus_pneumoniae	diff_k5	20	0.50	0.10	400	39	0.541	0.800	0.450
